#,ST,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount
44,Washington,Doctor,"$4,951.66","$46,896.00","$35,354.00",1/1/00,Personal Auto,Four-Door Car,$31.71
45,Oregon,Doctor,"$12,819.10","$10,105.00",$172.00,1/3/00,Personal Auto,SUV,$0.52
46,Arizona,Bachelor,"$4,468.51",$0.00,$73.00,1/3/00,Personal Auto,Four-Door Car,$579.17
47,Oregon,High School or Below,"$5,514.34","$23,218.00",$71.00,1/0/00,Personal Auto,Two-Door Car,$447.79
48,California,Bachelor,"$3,343.88",$0.00,$92.00,1/0/00,Corporate Auto,Four-Door Car,$529.62
49,Arizona,High School or Below,"$2,294.48",$0.00,$62.00,1/0/00,Personal Auto,Four-Door Car,$313.02
50,Oregon,College,"$36,707.43","$24,804.00",$104.00,1/0/00,Personal Auto,SUV,$593.83
51,California,Bachelor,"$33,473.35","$33,190.00",$106.00,1/0/00,Corporate Auto,SUV,$508.80
52,Nevada,High School or Below,"$7,983.43","$36,014.00",$69.00,1/3/00,Special Auto,Four-Door Car,$173.96
53,Washington,Master,"$4,879.38","$67,163.00",$61.00,1/2/00,Personal Auto,Two-Door Car,$33.19
54,California,Bachelor,"$4,294.00","$16,701.00",$113.00,1/0/00,Personal Auto,Four-Door Car,$831.63
55,Arizona,College,"$7,164.40","$46,623.00",$91.00,1/0/00,Corporate Auto,Four-Door Car,$436.80
56,California,College,"$7,619.52","$64,749.00",$64.00,1/0/00,Special Auto,Four-Door Car,$302.57
57,Arizona,High School or Below,"$3,958.00",$0.00,$101.00,1/0/00,Personal Auto,SUV,$484.80
58,Oregon,High School or Below,"$4,499.49","$16,969.00",$124.00,1/2/00,Personal Auto,SUV,$704.77
59,Oregon,Master,"$4,059.57","$11,621.00",$108.00,1/0/00,Personal Auto,Four-Door Car,$518.40
60,Arizona,Bachelor,"$4,458.11","$17,622.00",$65.00,1/1/00,Personal Auto,Four-Door Car,$312.00
61,California,Bachelor,"$8,110.33","$11,489.00",$105.00,1/0/00,Personal Auto,Two-Door Car,$504.00
62,Oregon,Bachelor,"$3,339.76",$0.00,$94.00,1/0/00,Personal Auto,Two-Door Car,$863.33
63,California,High School or Below,"$24,261.02","$66,525.00",$100.00,1/0/00,Personal Auto,SUV,$104.33
64,Arizona,Bachelor,"$6,613.97",$0.00,$63.00,1/0/00,Personal Auto,Four-Door Car,$676.39
65,Washington,College,"$2,930.69","$33,663.00",$73.00,1/0/00,Personal Auto,Four-Door Car,$350.40
66,Oregon,College,"$8,672.19","$22,547.00",$112.00,1/0/00,Corporate Auto,SUV,$537.60
67,Arizona,High School or Below,"$11,638.67","$61,486.00",$97.00,1/0/00,Personal Auto,Two-Door Car,$465.26
68,Oregon,Bachelor,"$6,846.15",$0.00,$95.00,1/0/00,Personal Auto,Two-Door Car,$456.00
69,California,College,"$11,727.78","$29,879.00",$102.00,1/0/00,Personal Auto,Four-Door Car,$500.25
70,Oregon,High School or Below,"$22,643.83","$93,011.00",$113.00,1/0/00,Personal Auto,SUV,$281.45
71,Oregon,Master,"$2,614.47","$65,186.00",$65.00,1/0/00,Personal Auto,Two-Door Car,$5.43
72,Oregon,Master,"$2,451.75","$26,840.00",$64.00,1/2/00,Personal Auto,Four-Door Car,$307.20
73,Oregon,Bachelor,"$6,781.27",$0.00,$104.00,1/1/00,Personal Auto,Sports Car,$982.40
74,Oregon,Bachelor,"$4,974.80","$75,644.00",$65.00,1/3/00,Personal Auto,Two-Door Car,$467.80
75,Oregon,Bachelor,"$8,591.60","$38,984.00",$73.00,1/0/00,Personal Auto,Four-Door Car,$350.40
76,Oregon,High School or Below,"$5,592.16","$71,811.00",$71.00,1/0/00,Personal Auto,Four-Door Car,$29.03
77,Nevada,College,"$8,009.47","$20,961.00",$67.00,1/0/00,Personal Auto,Four-Door Car,$321.60
78,California,Bachelor,"$58,166.55","$61,321.00",$186.00,1/1/00,Personal Auto,Luxury Car,$427.63
79,California,College,"$8,025.23",$0.00,$77.00,1/0/00,Personal Auto,Two-Door Car,$25.81
80,California,High School or Below,"$5,780.18","$51,066.00",$74.00,1/0/00,Personal Auto,Four-Door Car,$787.99
81,California,Doctor,"$4,118.54","$34,378.00",$102.00,1/0/00,Personal Auto,SUV,$489.60
82,Nevada,Master,"$2,523.07","$43,072.00",$63.00,1/0/00,Personal Auto,Four-Door Car,$302.40
83,Oregon,College,"$6,554.22","$25,222.00",$90.00,1/0/00,Personal Auto,Four-Door Car,$475.62
84,Washington,Bachelor,"$5,382.75","$77,552.00",$68.00,1/1/00,Corporate Auto,Four-Door Car,$45.22
85,California,College,"$5,926.73","$23,091.00",$96.00,1/5/00,Personal Auto,Four-Door Car,$460.80
86,California,Bachelor,"$2,683.47","$48,269.00",$69.00,1/3/00,Corporate Auto,Four-Door Car,$282.15
87,Oregon,Bachelor,"$2,695.18","$32,720.00",$67.00,1/0/00,Personal Auto,Four-Door Car,$321.60
88,California,College,"$6,047.03","$20,396.00",$76.00,1/1/00,Personal Auto,Four-Door Car,$364.80
89,Oregon,College,"$13,171.01","$21,513.00",$119.00,1/1/00,Personal Auto,Two-Door Car,$679.83
90,Washington,College,"$15,950.02",$0.00,$87.00,1/1/00,Personal Auto,Two-Door Car,$46.04
91,Oregon,Bachelor,"$2,527.65","$80,744.00",$63.00,1/0/00,Corporate Auto,Four-Door Car,$11.88
92,Oregon,Bachelor,"$2,672.10","$52,822.00",$67.00,1/0/00,Corporate Auto,Two-Door Car,$350.53
93,California,High School or Below,"$5,313.29",$0.00,$77.00,1/1/00,Personal Auto,Four-Door Car,$863.39
94,Oregon,Bachelor,"$20,946.19","$69,738.00",$74.00,1/1/00,Personal Auto,Four-Door Car,$492.13
95,Arizona,Master,"$8,375.35","$17,780.00",$109.00,1/0/00,Personal Auto,SUV,$132.59
96,California,Bachelor,"$4,801.66","$18,107.00",$62.00,1/0/00,Personal Auto,Four-Door Car,$297.60
97,Arizona,Bachelor,"$5,745.94","$57,740.00",$74.00,1/3/00,Personal Auto,Four-Door Car,$269.91
98,Oregon,College,"$6,066.12","$32,627.00",$76.00,1/0/00,Personal Auto,Two-Door Car,$380.04
99,California,College,"$8,002.31",$0.00,$107.00,1/0/00,Personal Auto,SUV,$513.60
100,California,College,"$2,393.92",$0.00,$70.00,1/0/00,Personal Auto,Four-Door Car,$425.27
101,Oregon,Bachelor,"$4,762.82","$65,795.00",$62.00,1/1/00,Corporate Auto,Two-Door Car,$49.01
102,California,College,"$4,330.39","$60,475.00",$107.00,1/0/00,Personal Auto,Four-Door Car,$513.60
103,California,High School or Below,"$9,402.73",$0.00,$130.00,1/0/00,Personal Auto,SUV,$936.00
104,Oregon,Bachelor,"$6,966.69","$41,837.00",$88.00,1/0/00,Personal Auto,Four-Door Car,$142.06
105,California,Bachelor,"$7,694.06","$32,303.00",$65.00,1/0/00,Personal Auto,Four-Door Car,$45.15
106,Oregon,High School or Below,"$8,717.56",$0.00,$117.00,1/1/00,Personal Auto,SUV,$561.60
107,California,Bachelor,"$5,928.75","$40,531.00",$74.00,1/0/00,Personal Auto,Two-Door Car,$30.57
108,Oregon,College,"$2,452.98","$79,898.00",$62.00,1/1/00,Corporate Auto,Four-Door Car,$271.61
109,California,College,"$6,701.57","$56,398.00",$85.00,1/0/00,Personal Auto,Four-Door Car,$408.00
110,Washington,High School or Below,"$4,996.55","$71,600.00",$63.00,1/0/00,Personal Auto,Two-Door Car,$46.16
111,Arizona,College,"$8,492.70","$27,804.00",$109.00,1/0/00,Personal Auto,SUV,$784.80
112,Oregon,Bachelor,"$7,713.49","$45,506.00",$66.00,1/2/00,Personal Auto,Four-Door Car,$316.80
113,Washington,Master,"$5,185.80","$99,428.00","$6,464.00",1/1/00,Personal Auto,Four-Door Car,$48.05
114,California,High School or Below,"$7,290.07",$0.00,$102.00,1/1/00,Corporate Auto,SUV,$489.60
115,Oregon,High School or Below,"$4,772.94","$20,993.00",$133.00,1/0/00,Personal Auto,SUV,$638.40
116,Arizona,High School or Below,"$6,806.49","$37,839.00",$86.00,1/0/00,Personal Auto,Two-Door Car,$465.63
117,California,Bachelor,"$2,469.78","$92,711.00",$62.00,1/0/00,Personal Auto,Two-Door Car,$368.40
118,California,College,"$3,103.92","$74,665.00",$78.00,1/2/00,Corporate Auto,Four-Door Car,$236.90
119,Washington,College,"$10,484.92","$61,108.00",$89.00,1/0/00,Personal Auto,Four-Door Car,$49.45
120,California,Bachelor,"$8,902.74","$46,833.00",$112.00,1/0/00,Personal Auto,Sports Car,$64.11
121,Oregon,High School or Below,"$5,499.45","$88,768.00",$68.00,1/0/00,Personal Auto,Two-Door Car,$326.40
122,California,High School or Below,"$15,023.60","$28,262.00",$192.00,1/0/00,Personal Auto,Luxury SUV,$921.60
123,Nevada,Bachelor,"$2,509.11","$33,555.00",$63.00,1/0/00,Personal Auto,Four-Door Car,$101.90
124,Oregon,College,"$31,221.75","$42,780.00",$113.00,1/1/00,Personal Auto,Four-Door Car,$542.40
125,Oregon,Master,"$3,133.50","$58,850.00",$78.00,1/0/00,Personal Auto,Four-Door Car,$143.75
126,Arizona,College,"$3,837.45","$21,880.00",$97.00,1/0/00,Special Auto,Four-Door Car,$424.08
127,Oregon,College,"$11,790.50","$25,251.00",$66.00,1/0/00,Personal Auto,Four-Door Car,$316.80
128,Washington,High School or Below,"$2,829.86","$25,317.00",$71.00,1/0/00,Personal Auto,Two-Door Car,$50.42
129,Arizona,High School or Below,"$4,305.81","$24,188.00",$109.00,1/0/00,Personal Auto,Sports Car,$523.20
130,Nevada,Bachelor,"$5,973.98","$41,611.00",$74.00,1/0/00,Special Auto,Four-Door Car,$113.80
131,Oregon,Bachelor,"$5,670.44","$28,406.00",$72.00,1/1/00,Personal Auto,Four-Door Car,$192.88
132,Arizona,College,"$4,731.75","$69,833.00",$118.00,1/0/00,Personal Auto,Four-Door Car,$828.66
133,Arizona,High School or Below,"$8,026.38",$0.00,$74.00,1/0/00,Corporate Auto,Four-Door Car,$532.80
134,Arizona,High School or Below,"$4,022.96",$0.00,$117.00,1/0/00,Personal Auto,SUV,$975.11
135,Oregon,High School or Below,"$9,618.31","$80,536.00",$119.00,1/0/00,Special Auto,Sports Car,$53.80
136,Washington,Bachelor,"$7,255.95","$88,891.00",$89.00,1/0/00,Personal Auto,Four-Door Car,$50.53
137,Oregon,College,"$9,552.93","$97,732.00",$79.00,1/0/00,Personal Auto,Four-Door Car,$289.91
138,Arizona,Bachelor,"$10,388.55","$61,222.00",$89.00,1/0/00,Special Auto,Four-Door Car,$392.60
139,Oregon,College,"$2,470.12",$0.00,$74.00,1/0/00,Personal Auto,Two-Door Car,$721.24
140,Arizona,Master,"$5,619.07","$50,335.00",$140.00,1/0/00,Personal Auto,SUV,$456.52
141,California,High School or Below,"$9,047.12",$0.00,$127.00,1/0/00,Personal Auto,Sports Car,"$1,088.00"
142,Washington,Doctor,"$2,687.31","$82,210.00",$68.00,1/4/00,Personal Auto,Four-Door Car,$51.96
143,Oregon,High School or Below,"$3,731.50",$0.00,$96.00,1/0/00,Personal Auto,Four-Door Car,$460.80
144,Nevada,Bachelor,"$3,660.77","$64,495.00",$92.00,1/0/00,Corporate Auto,Four-Door Car,$251.99
145,California,College,"$7,928.83",$0.00,$72.00,1/0/00,Corporate Auto,Four-Door Car,$345.60
146,Arizona,Bachelor,"$5,011.75","$28,859.00",$67.00,1/3/00,Corporate Auto,Two-Door Car,$321.60
147,Arizona,High School or Below,"$7,988.26","$77,330.00",$99.00,1/0/00,Personal Auto,Four-Door Car,$99.26
148,Oregon,College,"$3,885.46",$0.00,$105.00,1/0/00,Corporate Auto,Four-Door Car,$504.00
149,Washington,High School or Below,"$9,357.74","$33,060.00",$117.00,1/0/00,Personal Auto,Four-Door Car,$56.73
150,Washington,Master,"$2,540.69","$42,557.00",$65.00,1/0/00,Personal Auto,Four-Door Car,$57.56
151,Arizona,High School or Below,"$4,885.16","$26,372.00",$126.00,1/0/00,Personal Auto,SUV,$604.80
152,Arizona,Bachelor,"$9,753.31","$17,514.00",$127.00,1/0/00,Personal Auto,SUV,$8.31
153,California,Bachelor,"$2,946.15","$89,270.00",$74.00,1/0/00,Personal Auto,Four-Door Car,$316.60
154,California,High School or Below,"$2,581.11","$29,757.00",$65.00,1/0/00,Personal Auto,Four-Door Car,$312.00
155,Oregon,College,"$3,517.39","$51,814.00",$92.00,1/0/00,Personal Auto,Four-Door Car,$56.30
156,Oregon,Bachelor,"$9,743.35","$24,028.00",$82.00,1/0/00,Personal Auto,Four-Door Car,$393.60
157,Arizona,College,"$3,873.65","$28,142.00",$105.00,1/0/00,Personal Auto,Sports Car,$701.71
158,Arizona,Bachelor,"$7,649.28","$52,705.00",$64.00,1/1/00,Personal Auto,Two-Door Car,$128.71
159,California,High School or Below,"$2,287.60",$0.00,$63.00,1/0/00,Corporate Auto,Two-Door Car,$679.37
160,Washington,High School or Below,"$8,255.76","$54,040.00",$103.00,1/0/00,Personal Auto,SUV,$59.99
161,California,College,"$8,714.92",$0.00,$118.00,1/0/00,Personal Auto,SUV,$566.40
162,Washington,Doctor,"$6,819.23","$22,492.00",$85.00,1/0/00,Personal Auto,Two-Door Car,$61.65
163,California,Bachelor,"$7,416.20",$0.00,$77.00,1/2/00,Personal Auto,Four-Door Car,$554.40
164,Oregon,Master,"$7,771.16","$21,876.00",$68.00,1/0/00,Personal Auto,Four-Door Car,$465.41
165,California,Bachelor,"$6,968.34",$0.00,$69.00,1/1/00,Personal Auto,Four-Door Car,$496.80
166,California,High School or Below,"$4,250.28",$0.00,$61.00,1/1/00,Personal Auto,Four-Door Car,$292.80
167,Oregon,High School or Below,"$19,776.57","$70,699.00",$82.00,1/0/00,Personal Auto,Four-Door Car,$256.81
168,California,High School or Below,"$21,343.47",$0.00,$74.00,1/1/00,Personal Auto,Four-Door Car,$355.20
169,California,College,"$2,413.14","$27,501.00",$63.00,1/0/00,Personal Auto,Four-Door Car,$542.32
170,Oregon,Doctor,"$15,363.85","$15,897.00",$101.00,1/0/00,Personal Auto,Four-Door Car,$303.15
171,Nevada,College,"$8,456.96","$25,141.00",$73.00,1/1/00,Personal Auto,Four-Door Car,$25.44
172,Nevada,College,"$2,189.64",$0.00,$61.00,1/3/00,Personal Auto,Four-Door Car,$292.80
173,California,High School or Below,"$5,780.18","$51,066.00",$74.00,1/0/00,Personal Auto,Four-Door Car,$787.99
174,California,Bachelor,"$4,639.98","$28,358.00",$117.00,1/0/00,Personal Auto,Sports Car,$84.02
175,Washington,Doctor,"$3,824.43","$62,530.00",$95.00,1/0/00,Personal Auto,Four-Door Car,$61.69
176,Arizona,Bachelor,"$5,968.12","$90,972.00",$74.00,1/0/00,Personal Auto,Two-Door Car,$232.93
177,Washington,Bachelor,"$8,590.34","$63,110.00",$72.00,1/0/00,Personal Auto,Four-Door Car,$68.18
178,California,Bachelor,"$4,076.63","$29,549.00",$104.00,1/0/00,Personal Auto,Sports Car,$710.43
179,California,Bachelor,"$12,252.60",$0.00,$115.00,1/1/00,Personal Auto,Four-Door Car,$552.00
180,Nevada,Bachelor,"$16,936.27","$39,411.00",$217.00,1/2/00,Personal Auto,Luxury Car,"$1,122.66"
181,Oregon,High School or Below,"$4,892.44","$21,709.00",$62.00,1/0/00,Personal Auto,Four-Door Car,$408.37
182,Nevada,Bachelor,"$9,942.30","$67,890.00",$85.00,1/0/00,Personal Auto,Four-Door Car,$408.00
183,California,Bachelor,"$3,735.84",$0.00,$110.00,1/0/00,Personal Auto,SUV,$792.00
184,California,High School or Below,"$13,117.52","$84,311.00",$111.00,1/4/00,Personal Auto,SUV,$532.80
185,California,College,"$4,574.52","$99,316.00",$114.00,1/0/00,Corporate Auto,SUV,$754.36
186,Arizona,Bachelor,"$5,470.06","$54,507.00",$138.00,1/0/00,Personal Auto,SUV,$702.99
187,California,Bachelor,"$2,978.85","$64,586.00",$76.00,1/0/00,Personal Auto,Four-Door Car,$206.84
188,Oregon,College,"$6,410.97","$61,709.00",$82.00,1/2/00,Personal Auto,Four-Door Car,$275.40
189,California,Master,"$4,479.02","$94,656.00",$111.00,1/1/00,Special Auto,SUV,$459.74
190,California,High School or Below,"$2,383.73",$0.00,$69.00,1/0/00,Special Auto,Two-Door Car,$496.80
191,California,Bachelor,"$2,764.49","$61,085.00",$70.00,1/1/00,Personal Auto,Two-Door Car,$336.00
192,Oregon,Bachelor,"$7,920.11","$89,284.00",$67.00,1/3/00,Personal Auto,Two-Door Car,$321.60
193,Arizona,High School or Below,"$6,889.10",$0.00,$63.00,1/0/00,Personal Auto,Four-Door Car,$302.40
194,Washington,Bachelor,"$3,274.19","$31,686.00",$81.00,1/0/00,Personal Auto,Four-Door Car,$430.99
195,Oregon,High School or Below,"$9,951.71","$56,855.00",$255.00,1/0/00,Corporate Auto,Luxury SUV,"$1,836.00"
196,Oregon,Bachelor,"$2,521.56","$53,703.00",$67.00,1/2/00,Special Auto,Four-Door Car,$67.63
197,Washington,High School or Below,"$23,706.11",$0.00,$96.00,1/1/00,Personal Auto,Two-Door Car,$844.48
198,California,College,"$6,047.03","$20,396.00",$76.00,1/1/00,Personal Auto,Four-Door Car,$364.80
199,California,Master,"$11,140.30","$27,679.00",$150.00,1/0/00,Personal Auto,SUV,$722.49
200,Nevada,Bachelor,"$4,334.06","$23,904.00",$123.00,1/3/00,Personal Auto,SUV,$590.40
201,Arizona,High School or Below,"$2,799.75","$65,351.00",$69.00,1/0/00,Corporate Auto,Four-Door Car,$481.03
202,California,College,"$7,923.14",$0.00,$113.00,1/0/00,Personal Auto,SUV,"$1,124.43"
203,California,High School or Below,"$3,688.11",$0.00,$63.00,1/3/00,Personal Auto,Four-Door Car,$669.68
204,California,College,"$12,067.46",$0.00,$116.00,1/0/00,Personal Auto,SUV,"$1,284.09"
205,California,College,"$2,924.98","$64,459.00",$72.00,1/0/00,Personal Auto,Four-Door Car,$240.26
206,California,College,"$15,014.09","$32,961.00",$190.00,1/0/00,Corporate Auto,SUV,$912.00
207,Oregon,High School or Below,"$9,277.23","$71,416.00",$116.00,1/0/00,Corporate Auto,SUV,$556.80
208,Washington,Bachelor,"$6,274.12","$68,964.00",$78.00,1/0/00,Personal Auto,Four-Door Car,$115.09
209,California,High School or Below,"$3,886.65","$78,108.00",$98.00,1/0/00,Personal Auto,Two-Door Car,$470.40
210,California,College,"$4,386.28","$10,621.00",$67.00,1/0/00,Special Auto,Four-Door Car,$321.60
211,Washington,College,"$11,365.27","$84,910.00",$95.00,1/0/00,Corporate Auto,Two-Door Car,$383.17
212,California,High School or Below,"$5,610.96","$77,493.00",$70.00,1/0/00,Special Auto,Four-Door Car,$307.96
213,Arizona,College,"$2,912.89","$81,097.00",$74.00,1/0/00,Personal Auto,Four-Door Car,$355.20
214,Oregon,College,"$6,915.73","$96,610.00",$85.00,1/0/00,Corporate Auto,Four-Door Car,$520.36
215,Oregon,College,"$6,262.66","$30,110.00",$159.00,1/0/00,Corporate Auto,Sports Car,$466.44
216,Oregon,High School or Below,"$6,503.40","$22,081.00",$84.00,1/0/00,Special Auto,Two-Door Car,$451.67
217,Washington,High School or Below,"$8,007.40",$0.00,$112.00,1/0/00,Personal Auto,Sports Car,$537.60
218,California,College,"$2,929.92","$98,473.00",$72.00,1/0/00,Personal Auto,Four-Door Car,$345.60
219,Oregon,Bachelor,"$5,969.55","$97,431.00",$74.00,1/0/00,Personal Auto,Four-Door Car,$355.20
220,California,Bachelor,"$5,473.16","$93,870.00",$69.00,1/0/00,Personal Auto,Four-Door Car,$331.20
221,Nevada,High School or Below,"$5,645.40","$50,366.00",$72.00,1/0/00,Personal Auto,Four-Door Car,$428.73
222,Washington,High School or Below,"$6,369.26","$34,498.00",$83.00,1/0/00,Personal Auto,Two-Door Car,$398.40
223,Oregon,College,"$11,833.77","$16,552.00",$103.00,1/0/00,Personal Auto,SUV,$494.40
224,Oregon,College,"$6,121.11","$26,787.00",$77.00,1/0/00,Personal Auto,Four-Door Car,$369.60
225,Nevada,College,"$5,159.37",$0.00,$74.00,1/0/00,Personal Auto,Two-Door Car,$831.75
226,Nevada,High School or Below,"$2,514.59","$43,860.00",$65.00,1/0/00,Corporate Auto,Four-Door Car,$156.12
227,Arizona,High School or Below,"$8,668.61","$21,474.00",$114.00,1/2/00,Corporate Auto,SUV,$373.43
228,California,Bachelor,"$4,960.97","$18,174.00",$66.00,1/0/00,Corporate Auto,Four-Door Car,$395.93
229,Arizona,Bachelor,"$5,504.14",$0.00,$73.00,1/0/00,Corporate Auto,Four-Door Car,$350.40
230,Arizona,College,"$7,507.46","$60,920.00",$64.00,1/0/00,Personal Auto,Two-Door Car,$231.20
231,Arizona,High School or Below,"$32,269.85","$41,520.00",$90.00,1/0/00,Personal Auto,Four-Door Car,$289.90
232,Oregon,Bachelor,"$5,657.03",$0.00,$152.00,1/0/00,Personal Auto,SUV,$729.60
233,Arizona,High School or Below,"$5,061.76",$0.00,$68.00,1/0/00,Personal Auto,Two-Door Car,$326.40
234,California,Bachelor,"$5,912.78","$72,208.00",$73.00,1/0/00,Personal Auto,Two-Door Car,$350.40
235,California,Bachelor,"$15,182.28","$53,863.00",$63.00,1/0/00,Personal Auto,Four-Door Car,$105.77
236,Washington,College,"$10,747.03","$66,446.00",$136.00,1/0/00,Corporate Auto,SUV,$639.46
237,Washington,College,"$2,050.62",$0.00,$61.00,1/0/00,Personal Auto,Four-Door Car,$292.80
238,Washington,Bachelor,"$2,465.44","$64,997.00",$63.00,1/1/00,Personal Auto,Four-Door Car,$383.44
239,Nevada,High School or Below,"$5,343.12","$64,460.00",$66.00,1/0/00,Corporate Auto,Two-Door Car,$316.80
240,Arizona,College,"$8,119.83","$46,618.00",$67.00,1/0/00,Personal Auto,Four-Door Car,$99.09
241,Oregon,College,"$4,605.27",$0.00,$64.00,1/0/00,Corporate Auto,Four-Door Car,$307.20
242,California,College,"$6,408.79","$49,988.00",$84.00,1/5/00,Personal Auto,Two-Door Car,$566.94
243,California,College,"$2,376.53",$0.00,$91.00,1/5/00,Personal Auto,Two-Door Car,$436.80
244,California,Bachelor,"$3,211.07","$16,269.00",$86.00,1/0/00,Corporate Auto,Two-Door Car,$412.80
245,Arizona,Bachelor,"$5,094.52","$72,006.00",$64.00,1/0/00,Personal Auto,Four-Door Car,$307.20
246,Arizona,High School or Below,"$25,755.28",$0.00,$81.00,1/2/00,Personal Auto,Four-Door Car,$388.80
247,Oregon,Bachelor,"$8,672.23",$0.00,$245.00,1/0/00,Corporate Auto,Luxury SUV,"$2,345.41"
248,California,Master,"$8,044.73","$44,320.00",$67.00,1/0/00,Personal Auto,Four-Door Car,$321.60
249,Arizona,High School or Below,"$4,001.52","$19,782.00",$108.00,1/0/00,Personal Auto,Two-Door Car,$773.47
